file,type,line,frame
  94 |     rtl.act(() => {
  95 |       store.dispatch({type: 'differentState'});"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 98, 'column': 4, 'index': 2172}","   96 |     });
   97 |
>  98 |     expect(store.getState().a.b).toBe('d');
      |    ^ Duplicate Assert
   99 |
  100 |     expect(updateInfos).toHaveLength(1);
  101 |     expect(updateInfos[0].reason).toEqual({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 133, 'column': 4, 'index': 3037}","  131 |     rtl.render(<Main/>);
  132 |
> 133 |     expect(store.getState().a.b).toBe('c');
      |    ^ Duplicate Assert
  134 |
  135 |     rtl.act(() => {
  136 |       store.dispatch({type: 'deepEqlState'});"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 133, 'column': 4, 'index': 3037}","  131 |     rtl.render(<Main/>);
  132 |
> 133 |     expect(store.getState().a.b).toBe('c');
      |    ^ Duplicate Assert
  134 |
  135 |     rtl.act(() => {
  136 |       store.dispatch({type: 'deepEqlState'});"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 139, 'column': 4, 'index': 3157}","  137 |     });
  138 |
> 139 |     expect(store.getState().a.b).toBe('c');
      |    ^ Duplicate Assert
  140 |
  141 |     expect(updateInfos).toHaveLength(1);
  142 |     expect(updateInfos[0].reason).toEqual({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 139, 'column': 4, 'index': 3157}","  137 |     });
  138 |
> 139 |     expect(store.getState().a.b).toBe('c');
      |    ^ Duplicate Assert
  140 |
  141 |     expect(updateInfos).toHaveLength(1);
  142 |     expect(updateInfos[0].reason).toEqual({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 205, 'column': 4, 'index': 4662}","  203 |     rtl.render(<Main/>);
  204 |
> 205 |     expect(store.getState().a.b).toBe('c');
      |    ^ Duplicate Assert
  206 |
  207 |     rtl.act(() => {
  208 |       store.dispatch({type: 'sameState'});"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 205, 'column': 4, 'index': 4662}","  203 |     rtl.render(<Main/>);
  204 |
> 205 |     expect(store.getState().a.b).toBe('c');
      |    ^ Duplicate Assert
  206 |
  207 |     rtl.act(() => {
  208 |       store.dispatch({type: 'sameState'});"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 211, 'column': 4, 'index': 4779}","  209 |     });
  210 |
> 211 |     expect(store.getState().a.b).toBe('c');
      |    ^ Duplicate Assert
  212 |
  213 |     expect(updateInfos).toHaveLength(0);
  214 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 211, 'column': 4, 'index': 4779}","  209 |     });
  210 |
> 211 |     expect(store.getState().a.b).toBe('c');
      |    ^ Duplicate Assert
  212 |
  213 |     expect(updateInfos).toHaveLength(0);
  214 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 234, 'column': 4, 'index': 5297}","  232 |     rtl.render(<Main/>);
  233 |
> 234 |     expect(store.getState().a.b).toBe('c');
      |    ^ Duplicate Assert
